"Name","PackageFullName","DisplayName","DisplayVersion","Publisher","InstallDate","IsFramework","IsResourcePackage","InstallLocation","UserSid"
"Microsoft.BingWeather","Microsoft.BingWeather_4.54.63029.0_x64__8wekyb3d8bbwe","Microsoft.BingWeather","4.54.63029.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.BingWeather_4.54.63029.0_x64__8wekyb3d8bbwe",
"Microsoft.BioEnrollment","Microsoft.BioEnrollment_10.0.19587.1000_neutral__cw5n1h2txyewy","Microsoft.BioEnrollment","10.0.19587.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\Microsoft.BioEnrollment_cw5n1h2txyewy",
"Microsoft.Copilot","Microsoft.Copilot_1.25114.55.0_x64__8wekyb3d8bbwe","Microsoft.Copilot","1.25114.55.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.Copilot_1.25114.55.0_x64__8wekyb3d8bbwe",
"Microsoft.CredDialogHost","Microsoft.CredDialogHost_10.0.19595.1001_neutral__cw5n1h2txyewy","Microsoft.CredDialogHost","10.0.19595.1001","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\microsoft.creddialoghost_cw5n1h2txyewy",
"Microsoft.DesktopAppInstaller","Microsoft.DesktopAppInstaller_1.27.350.0_x64__8wekyb3d8bbwe","Microsoft.DesktopAppInstaller","1.27.350.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.27.350.0_x64__8wekyb3d8bbwe",
"Microsoft.DiagnosticDataViewer","Microsoft.DiagnosticDataViewer_4.2209.41991.0_x64__8wekyb3d8bbwe","Microsoft.DiagnosticDataViewer","4.2209.41991.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.DiagnosticDataViewer_4.2209.41991.0_x64__8wekyb3d8bbwe",
"Microsoft.ECApp","Microsoft.ECApp_10.0.26100.4061_neutral__8wekyb3d8bbwe","Microsoft.ECApp","10.0.26100.4061","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\Microsoft.ECApp_8wekyb3d8bbwe",
"Microsoft.Edge.GameAssist","Microsoft.Edge.GameAssist_1.0.3590.0_x64__8wekyb3d8bbwe","Microsoft.Edge.GameAssist","1.0.3590.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.Edge.GameAssist_1.0.3590.0_x64__8wekyb3d8bbwe",
"Microsoft.EdgeDevtoolsPlugin","Microsoft.EdgeDevtoolsPlugin_10.0.26100.1_neutral_neutral_cw5n1h2txyewy","Microsoft.EdgeDevtoolsPlugin","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\Microsoft.EdgeDevtoolsPlugin_cw5n1h2txyewy",
"Microsoft.GetHelp","Microsoft.GetHelp_10.2409.32612.0_x64__8wekyb3d8bbwe","Microsoft.GetHelp","10.2409.32612.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.GetHelp_10.2409.32612.0_x64__8wekyb3d8bbwe",
"Microsoft.HEIFImageExtension","Microsoft.HEIFImageExtension_1.2.28.0_x64__8wekyb3d8bbwe","Microsoft.HEIFImageExtension","1.2.28.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.HEIFImageExtension_1.2.28.0_x64__8wekyb3d8bbwe",
"Microsoft.HEVCVideoExtensions","Microsoft.HEVCVideoExtensions_2.4.37.0_x64__8wekyb3d8bbwe","Microsoft.HEVCVideoExtensions","2.4.37.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.HEVCVideoExtensions_2.4.37.0_x64__8wekyb3d8bbwe",
"Microsoft.Ink.Handwriting.Main.en-US.1.0.1","Microsoft.Ink.Handwriting.Main.en-US.1.0.1_0.850.1840.0_x64__8wekyb3d8bbwe","Microsoft.Ink.Handwriting.Main.en-US.1.0.1","0.850.1840.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.Ink.Handwriting.Main.en-US.1.0.1_0.850.1840.0_x64__8wekyb3d8bbwe",
"Microsoft.LockApp","Microsoft.LockApp_10.0.26100.4202_neutral__cw5n1h2txyewy","Microsoft.LockApp","10.0.26100.4202","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy",
"Microsoft.Microsoft3DViewer","Microsoft.Microsoft3DViewer_7.2506.10022.0_x64__8wekyb3d8bbwe","Microsoft.Microsoft3DViewer","7.2506.10022.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.Microsoft3DViewer_7.2506.10022.0_x64__8wekyb3d8bbwe",
"Microsoft.MicrosoftEdge.Beta","Microsoft.MicrosoftEdge.Beta_121.0.2277.83_neutral__8wekyb3d8bbwe","Microsoft.MicrosoftEdge.Beta","121.0.2277.83","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.MicrosoftEdge.Beta_121.0.2277.83_neutral__8wekyb3d8bbwe",
"Microsoft.MicrosoftEdge.Stable","Microsoft.MicrosoftEdge.Stable_140.0.3485.54_neutral__8wekyb3d8bbwe","Microsoft.MicrosoftEdge.Stable","140.0.3485.54","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.MicrosoftEdge.Stable_140.0.3485.54_neutral__8wekyb3d8bbwe",
